"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
princeid,enrollment,,text,"<div class=""rich-text-field-label""><p>Probanden ID</p></div>",,,,,,,,,,,,,
date_enrolled,enrollment,,text,"Datum der Studienteilnahme",,,date_dmy,,,,,,,,,,
fillout_date,enrollment,,text,"Ausfülldatum des Fragebögens ?",,,date_dmy,,,,,,,,,,
dummy_mail,enrollment,,calc,"Dummy Mail","[princeid] + ""@dummy.uke.de.nack""",,,,,,,,,,,,
einleitung,deckblatt_z11,,descriptive,"Vielen Dank, dass Sie sich die Zeit nehmen an dieser Studie teilzunehmen und die
folgenden Fragen zu beantworten.

Bitte lesen Sie jede Aussage genau durch und kreuzen Sie als Antwort die Kategorie
an, die Ihre Sichtweise am besten ausdrückt.

Wir möchten betonen, dass es beim Ausfüllen des Bogens keine richtigen oder falschen Antworten gibt und Sie müssen keine Expertin sein, um den Fragebogen
angemessen beantworten zu können. Ihre persönliche und spontane Einschätzung
ist uns wichtig und wird pseudonymisiert ausgewertet.

Bitte nehmen Sie sich zur Beantwortung der Fragen etwa 30 Minuten Zeit und achten Sie darauf, dass Sie alle Fragen beantworten. Auch wenn Ihnen die Entscheidung
einmal schwerfallen sollte, kreuzen Sie die Antwort an, die Ihre Sichtweise am ehesten ausdrückt. Falls Sie Ihre Meinung nach dem Ankreuzen ändern sollten, streichen
Sie Ihre erste Antwort bitte deutlich durch. Danach senden Sie uns den Bogen
möglichst innerhalb einer Woche im Rückumschlag zu.",,,,,,,,,,,,,
inhalt,deckblatt_z11,,descriptive,"Der Fragebogen wird folgende Teile beinhalten: 

- Angaben zur Person
- Soziodemographie und aktuelle Lebenssituation
- ... ",,,,,,,,,,,,,
birthday_child,personenangaben,,text,"Die folgenden Fragen beziehen sich auf Ihr Kind, das am ... geboren ist",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
answerer,personenangaben,"Angaben zur Person",radio,"Wer beantwortet diesen Fragebogen?","1, Mutter | 2, Vater | 3, Mutter und Vater | 4, Großeltern oder andere Verwandte | 5, Andere | -99, Fehlende Antwort",,,,,,,,,,,,
live_with,personenangaben,,radio,"Bei wem lebt Ihr Kind hauptsächlich?","1, Leiblichen Eltern | 2, Mutter und ihrem Partner | 3, Mutter | 4, Vater | 5, Großeltern oder anderen Verwandten | 6, Pflegeeltern/Adoptiveltern | 7, In einem Heim | -99, Fehlende Antwort",,,,,,,,,,,,
livingwithsiblings,personenangaben,,checkbox,"Lebt ihr Kind mit Geschwistern zusammen?","0, Nein | 1, Mein Kind lebt mit älteren Geschwistern zusammen ? {numberofoldersiblings} | 2, Mein Kind lebt mit jüngeren Geschwistern zusammen ?  {numberofyoungersiblings} | 3, Mein Kind lebt mit gleichaltrigen Geschwistern zusammen ?  {numberofcoevalsiblings} | -99, Fehlende Antwort",,,,,,,,,,,,"-99, Fehlende Antwort|-88, Erlaubt fehlende Antwort|1, Ja|0, Nein"
numberofoldersiblings,personenangaben,,text,"Anzahl der älteren Geschwister:",,"Wie viele ?",integer,-100,12,,,,,,,," @PLACEHOLDER = ""wie viele"""
numberofyoungersiblings,personenangaben,,text,"Anzahl der jüngeren Geschwister:",,"Wie viele ?",integer,-100,12,,,,,,,," @PLACEHOLDER = "" wie viele"""
numberofcoevalsiblings,personenangaben,,text,"Anzahl der gleichaltrigen Geschwister:",,"Wie viele ?",integer,-100,12,,,,,,,," @PLACEHOLDER = "" wie viele"""
gender_child,personenangaben,,radio,"Geschlecht des Kindes:","0, weiblich | 1, männlich | -99, Fehlende Antwort",,,,,,,,LH,,,,
birthday_father,personenangaben,,text,"Wann wurde der leibliche Vater des Kindes geboren? [Jahr]",,,integer,1950,2050,,,,,,,,"-99, Fehlende Antwort|-88, Erlaubt fehlende Antwort|1950 <= Datum"
